Use,Nomenclature,ReporterISO3,ProductCode,ReporterName,PartnerISO3,PartnerName,Year,TradeFlowName,TradeFlowCode,TradeValue in 1000 USD
Cladding tube,S4,KOR,28784,"Korea, Rep.",AUS,Australia,2015,Import,5,5558.779
Cladding tube,S4,KOR,28784,"Korea, Rep.",AUS,Australia,2016,Import,5,6198.225
Cladding tube,S4,KOR,28784,"Korea, Rep.",AUS,Australia,2017,Import,5,4552.681
Cladding tube,S4,KOR,28784,"Korea, Rep.",AUS,Australia,2018,Import,5,6116.962
Cladding tube,S4,KOR,28784,"Korea, Rep.",AUS,Australia,2019,Import,5,1700.537
Cladding tube,S4,KOR,28784,"Korea, Rep.",AUS,Australia,2020,Import,5,2960.907
Cladding tube,S4,KOR,28784,"Korea, Rep.",AUS,Australia,2021,Import,5,4050.316
Cladding tube,S4,KOR,28784,"Korea, Rep.",AUT,Austria,2015,Import,5,17.28
Cladding tube,S4,KOR,28784,"Korea, Rep.",AUT,Austria,2016,Import,5,34.56
Cladding tube,S4,KOR,28784,"Korea, Rep.",CHN,China,2015,Import,5,37.802
Cladding tube,S4,KOR,28784,"Korea, Rep.",CHN,China,2016,Import,5,25.701
Cladding tube,S4,KOR,28784,"Korea, Rep.",CHN,China,2017,Import,5,1.306
Cladding tube,S4,KOR,28784,"Korea, Rep.",CHN,China,2018,Import,5,1.712
Cladding tube,S4,KOR,28784,"Korea, Rep.",CHN,China,2019,Import,5,2.879
Cladding tube,S4,KOR,28784,"Korea, Rep.",CHN,China,2020,Import,5,16.309
Cladding tube,S4,KOR,28784,"Korea, Rep.",CHN,China,2021,Import,5,31.339
Cladding tube,S4,KOR,28784,"Korea, Rep.",GBR,United Kingdom,2015,Import,5,58.108
Cladding tube,S4,KOR,28784,"Korea, Rep.",GBR,United Kingdom,2016,Import,5,45.423
Cladding tube,S4,KOR,28784,"Korea, Rep.",GBR,United Kingdom,2017,Import,5,42.976
Cladding tube,S4,KOR,28784,"Korea, Rep.",GBR,United Kingdom,2018,Import,5,33.562
Cladding tube,S4,KOR,28784,"Korea, Rep.",GBR,United Kingdom,2019,Import,5,31.368
Cladding tube,S4,KOR,28784,"Korea, Rep.",GBR,United Kingdom,2020,Import,5,29.668
Cladding tube,S4,KOR,28784,"Korea, Rep.",GBR,United Kingdom,2021,Import,5,32.808
Cladding tube,S4,KOR,28784,"Korea, Rep.",HKG,"Hong Kong, China",2021,Import,5,0.7
Cladding tube,S4,KOR,28784,"Korea, Rep.",IDN,Indonesia,2016,Import,5,90.629
Cladding tube,S4,KOR,28784,"Korea, Rep.",IDN,Indonesia,2017,Import,5,9.152
Cladding tube,S4,KOR,28784,"Korea, Rep.",IDN,Indonesia,2018,Import,5,529.336
Cladding tube,S4,KOR,28784,"Korea, Rep.",IDN,Indonesia,2019,Import,5,1327.982
Cladding tube,S4,KOR,28784,"Korea, Rep.",IDN,Indonesia,2020,Import,5,612.286
Cladding tube,S4,KOR,28784,"Korea, Rep.",IDN,Indonesia,2021,Import,5,226.43
Cladding tube,S4,KOR,28784,"Korea, Rep.",IND,India,2016,Import,5,0.312
Cladding tube,S4,KOR,28784,"Korea, Rep.",IND,India,2018,Import,5,0.054
Cladding tube,S4,KOR,28784,"Korea, Rep.",IND,India,2019,Import,5,0.107
Cladding tube,S4,KOR,28784,"Korea, Rep.",JPN,Japan,2015,Import,5,0.648
Cladding tube,S4,KOR,28784,"Korea, Rep.",JPN,Japan,2016,Import,5,0.733
Cladding tube,S4,KOR,28784,"Korea, Rep.",JPN,Japan,2017,Import,5,1.816
Cladding tube,S4,KOR,28784,"Korea, Rep.",JPN,Japan,2018,Import,5,6.357
Cladding tube,S4,KOR,28784,"Korea, Rep.",JPN,Japan,2019,Import,5,3.865
Cladding tube,S4,KOR,28784,"Korea, Rep.",LKA,Sri Lanka,2018,Import,5,0.169
Cladding tube,S4,KOR,28784,"Korea, Rep.",MYS,Malaysia,2016,Import,5,0.161
Cladding tube,S4,KOR,28784,"Korea, Rep.",MYS,Malaysia,2020,Import,5,0.01
Cladding tube,S4,KOR,28784,"Korea, Rep.",NGA,Nigeria,2016,Import,5,0.022
Cladding tube,S4,KOR,28784,"Korea, Rep.",OAS,"Other Asia, nes",2015,Import,5,195.014
Cladding tube,S4,KOR,28784,"Korea, Rep.",OAS,"Other Asia, nes",2016,Import,5,48.305
Cladding tube,S4,KOR,28784,"Korea, Rep.",OAS,"Other Asia, nes",2018,Import,5,0.046
Cladding tube,S4,KOR,28784,"Korea, Rep.",OAS,"Other Asia, nes",2019,Import,5,0.964
Cladding tube,S4,KOR,28784,"Korea, Rep.",SEN,Senegal,2017,Import,5,20.585
Cladding tube,S4,KOR,28784,"Korea, Rep.",SEN,Senegal,2019,Import,5,29.019
Cladding tube,S4,KOR,28784,"Korea, Rep.",THA,Thailand,2021,Import,5,394.447
Cladding tube,S4,KOR,28784,"Korea, Rep.",UKR,Ukraine,2015,Import,5,220.725
Cladding tube,S4,KOR,28784,"Korea, Rep.",UKR,Ukraine,2016,Import,5,41.406
Cladding tube,S4,KOR,28784,"Korea, Rep.",UKR,Ukraine,2017,Import,5,62.185
Cladding tube,S4,KOR,28784,"Korea, Rep.",UKR,Ukraine,2018,Import,5,28.673
Cladding tube,S4,KOR,28784,"Korea, Rep.",UKR,Ukraine,2020,Import,5,0.051
Cladding tube,S4,KOR,28784,"Korea, Rep.",UKR,Ukraine,2021,Import,5,110.64
Cladding tube,S4,KOR,28784,"Korea, Rep.",USA,United States,2015,Import,5,41.703
Cladding tube,S4,KOR,28784,"Korea, Rep.",USA,United States,2016,Import,5,86.479
Cladding tube,S4,KOR,28784,"Korea, Rep.",USA,United States,2017,Import,5,83.055
Cladding tube,S4,KOR,28784,"Korea, Rep.",USA,United States,2018,Import,5,4.253
Cladding tube,S4,KOR,28784,"Korea, Rep.",USA,United States,2019,Import,5,32.701
Cladding tube,S4,KOR,28784,"Korea, Rep.",USA,United States,2020,Import,5,2.626
Cladding tube,S4,KOR,28784,"Korea, Rep.",USA,United States,2021,Import,5,23.035
Cladding tube,S4,KOR,28784,"Korea, Rep.",VNM,Vietnam,2015,Import,5,77.419
Cladding tube,S4,KOR,28784,"Korea, Rep.",VNM,Vietnam,2016,Import,5,254.686
Cladding tube,S4,KOR,28784,"Korea, Rep.",VNM,Vietnam,2017,Import,5,0.049
Cladding tube,S4,KOR,28784,"Korea, Rep.",VNM,Vietnam,2018,Import,5,1130.407
Cladding tube,S4,KOR,28784,"Korea, Rep.",VNM,Vietnam,2020,Import,5,0.053
Cladding tube,S4,KOR,28784,"Korea, Rep.",VNM,Vietnam,2021,Import,5,0.061
Cladding tube,S4,KOR,28784,"Korea, Rep.",ZAF,South Africa,2015,Import,5,2204.734
Cladding tube,S4,KOR,28784,"Korea, Rep.",ZAF,South Africa,2016,Import,5,3212.305
Cladding tube,S4,KOR,28784,"Korea, Rep.",ZAF,South Africa,2017,Import,5,6881.261
Cladding tube,S4,KOR,28784,"Korea, Rep.",ZAF,South Africa,2018,Import,5,10149.309
Cladding tube,S4,KOR,28784,"Korea, Rep.",ZAF,South Africa,2019,Import,5,7760.103
Cladding tube,S4,KOR,28784,"Korea, Rep.",ZAF,South Africa,2020,Import,5,3922.352
Cladding tube,S4,KOR,28784,"Korea, Rep.",ZAF,South Africa,2021,Import,5,4412.448
Cladding tube,S4,KOR,28785,"Korea, Rep.",BDI,Burundi,2017,Import,5,44.23
Cladding tube,S4,KOR,28785,"Korea, Rep.",BDI,Burundi,2019,Import,5,0.018
Cladding tube,S4,KOR,28785,"Korea, Rep.",BOL,Bolivia,2018,Import,5,8.7
Cladding tube,S4,KOR,28785,"Korea, Rep.",BRB,Barbados,2019,Import,5,93.946
Cladding tube,S4,KOR,28785,"Korea, Rep.",CHN,China,2015,Import,5,15.192
Cladding tube,S4,KOR,28785,"Korea, Rep.",CHN,China,2016,Import,5,0.755
Cladding tube,S4,KOR,28785,"Korea, Rep.",CHN,China,2017,Import,5,43.979
Cladding tube,S4,KOR,28785,"Korea, Rep.",CHN,China,2019,Import,5,3.692
Cladding tube,S4,KOR,28785,"Korea, Rep.",CHN,China,2020,Import,5,6.074
Cladding tube,S4,KOR,28785,"Korea, Rep.",CHN,China,2021,Import,5,27.262
Cladding tube,S4,KOR,28785,"Korea, Rep.",COL,Colombia,2019,Import,5,0.049
Cladding tube,S4,KOR,28785,"Korea, Rep.",DNK,Denmark,2019,Import,5,0.293
Cladding tube,S4,KOR,28785,"Korea, Rep.",ESP,Spain,2017,Import,5,0.142
Cladding tube,S4,KOR,28785,"Korea, Rep.",IND,India,2020,Import,5,0.016
Cladding tube,S4,KOR,28785,"Korea, Rep.",JPN,Japan,2016,Import,5,4.555
Cladding tube,S4,KOR,28785,"Korea, Rep.",JPN,Japan,2017,Import,5,16.979
Cladding tube,S4,KOR,28785,"Korea, Rep.",JPN,Japan,2018,Import,5,3.678
Cladding tube,S4,KOR,28785,"Korea, Rep.",JPN,Japan,2019,Import,5,3.907
Cladding tube,S4,KOR,28785,"Korea, Rep.",JPN,Japan,2020,Import,5,2.189
Cladding tube,S4,KOR,28785,"Korea, Rep.",KEN,Kenya,2021,Import,5,0.13
Cladding tube,S4,KOR,28785,"Korea, Rep.",KHM,Cambodia,2021,Import,5,0.015
Cladding tube,S4,KOR,28785,"Korea, Rep.",KWT,Kuwait,2018,Import,5,2897.602
Cladding tube,S4,KOR,28785,"Korea, Rep.",KWT,Kuwait,2019,Import,5,200.843
Cladding tube,S4,KOR,28785,"Korea, Rep.",LBR,Liberia,2020,Import,5,0.296
Cladding tube,S4,KOR,28785,"Korea, Rep.",MEX,Mexico,2016,Import,5,0.014
Cladding tube,S4,KOR,28785,"Korea, Rep.",MEX,Mexico,2018,Import,5,1.102
Cladding tube,S4,KOR,28785,"Korea, Rep.",NLD,Netherlands,2016,Import,5,1.109
Cladding tube,S4,KOR,28785,"Korea, Rep.",NLD,Netherlands,2017,Import,5,2.203
Cladding tube,S4,KOR,28785,"Korea, Rep.",NLD,Netherlands,2018,Import,5,1.149
Cladding tube,S4,KOR,28785,"Korea, Rep.",NLD,Netherlands,2020,Import,5,242.582
Cladding tube,S4,KOR,28785,"Korea, Rep.",NZL,New Zealand,2020,Import,5,0.709
Cladding tube,S4,KOR,28785,"Korea, Rep.",RWA,Rwanda,2017,Import,5,0.025
Cladding tube,S4,KOR,28785,"Korea, Rep.",SGP,Singapore,2019,Import,5,0.057
Cladding tube,S4,KOR,28785,"Korea, Rep.",SVN,Slovenia,2021,Import,5,0.011
Cladding tube,S4,KOR,28785,"Korea, Rep.",USA,United States,2016,Import,5,0.024
Cladding tube,S4,KOR,28785,"Korea, Rep.",USA,United States,2017,Import,5,1.737
Cladding tube,S4,KOR,28785,"Korea, Rep.",USA,United States,2018,Import,5,2.5
Cladding tube,S4,KOR,28785,"Korea, Rep.",USA,United States,2019,Import,5,3.395
Cladding tube,S4,KOR,28785,"Korea, Rep.",USA,United States,2020,Import,5,0.274
Cladding tube,S4,KOR,28785,"Korea, Rep.",USA,United States,2021,Import,5,10.827
Cladding tube,S4,KOR,28785,"Korea, Rep.",ZAR,"Congo, Dem. Rep.",2015,Import,5,0.014
Cladding tube,S4,KOR,28785,"Korea, Rep.",ZAR,"Congo, Dem. Rep.",2018,Import,5,0.052
Cladding tube,S4,KOR,68913,"Korea, Rep.",BDI,Burundi,2015,Import,5,6.966
Cladding tube,S4,KOR,68913,"Korea, Rep.",BEL,Belgium,2017,Import,5,0.225
Cladding tube,S4,KOR,68913,"Korea, Rep.",BGD,Bangladesh,2020,Import,5,4.661
Cladding tube,S4,KOR,68913,"Korea, Rep.",CAN,Canada,2018,Import,5,70.721
Cladding tube,S4,KOR,68913,"Korea, Rep.",CAN,Canada,2021,Import,5,5.75
Cladding tube,S4,KOR,68913,"Korea, Rep.",CHN,China,2015,Import,5,484.887
Cladding tube,S4,KOR,68913,"Korea, Rep.",CHN,China,2016,Import,5,868.763
Cladding tube,S4,KOR,68913,"Korea, Rep.",CHN,China,2017,Import,5,501.226
Cladding tube,S4,KOR,68913,"Korea, Rep.",CHN,China,2018,Import,5,63.145
Cladding tube,S4,KOR,68913,"Korea, Rep.",CHN,China,2019,Import,5,23.299
Cladding tube,S4,KOR,68913,"Korea, Rep.",CHN,China,2020,Import,5,60.396
Cladding tube,S4,KOR,68913,"Korea, Rep.",CHN,China,2021,Import,5,59.979
Cladding tube,S4,KOR,68913,"Korea, Rep.",DEU,Germany,2015,Import,5,20.41
Cladding tube,S4,KOR,68913,"Korea, Rep.",DEU,Germany,2016,Import,5,2.137
Cladding tube,S4,KOR,68913,"Korea, Rep.",DEU,Germany,2017,Import,5,1.919
Cladding tube,S4,KOR,68913,"Korea, Rep.",DEU,Germany,2018,Import,5,0.011
Cladding tube,S4,KOR,68913,"Korea, Rep.",DEU,Germany,2019,Import,5,14.349
Cladding tube,S4,KOR,68913,"Korea, Rep.",DNK,Denmark,2018,Import,5,0.222
Cladding tube,S4,KOR,68913,"Korea, Rep.",FRA,France,2019,Import,5,2.241
Cladding tube,S4,KOR,68913,"Korea, Rep.",GBR,United Kingdom,2016,Import,5,0.238
Cladding tube,S4,KOR,68913,"Korea, Rep.",GBR,United Kingdom,2017,Import,5,18.034
Cladding tube,S4,KOR,68913,"Korea, Rep.",GBR,United Kingdom,2018,Import,5,0.084
Cladding tube,S4,KOR,68913,"Korea, Rep.",GBR,United Kingdom,2019,Import,5,0.077
Cladding tube,S4,KOR,68913,"Korea, Rep.",HKG,"Hong Kong, China",2015,Import,5,9.546
Cladding tube,S4,KOR,68913,"Korea, Rep.",HKG,"Hong Kong, China",2016,Import,5,72.319
Cladding tube,S4,KOR,68913,"Korea, Rep.",HKG,"Hong Kong, China",2017,Import,5,0.354
Cladding tube,S4,KOR,68913,"Korea, Rep.",HKG,"Hong Kong, China",2018,Import,5,159.615
Cladding tube,S4,KOR,68913,"Korea, Rep.",HKG,"Hong Kong, China",2019,Import,5,91.4
Cladding tube,S4,KOR,68913,"Korea, Rep.",JPN,Japan,2015,Import,5,29.615
Cladding tube,S4,KOR,68913,"Korea, Rep.",JPN,Japan,2016,Import,5,0.323
Cladding tube,S4,KOR,68913,"Korea, Rep.",JPN,Japan,2017,Import,5,0.391
Cladding tube,S4,KOR,68913,"Korea, Rep.",JPN,Japan,2018,Import,5,1.15
Cladding tube,S4,KOR,68913,"Korea, Rep.",JPN,Japan,2019,Import,5,9.185
Cladding tube,S4,KOR,68913,"Korea, Rep.",JPN,Japan,2020,Import,5,0.571
Cladding tube,S4,KOR,68913,"Korea, Rep.",JPN,Japan,2021,Import,5,0.042
Cladding tube,S4,KOR,68913,"Korea, Rep.",KAZ,Kazakhstan,2016,Import,5,0.02
Cladding tube,S4,KOR,68913,"Korea, Rep.",PHL,Philippines,2015,Import,5,0.19
Cladding tube,S4,KOR,68913,"Korea, Rep.",PHL,Philippines,2018,Import,5,1.0
Cladding tube,S4,KOR,68913,"Korea, Rep.",PHL,Philippines,2019,Import,5,201.107
Cladding tube,S4,KOR,68913,"Korea, Rep.",PHL,Philippines,2020,Import,5,105.38
